種別,名前,攻撃力,守備力,買値,売値,効果,入手方法,備考
装備盾,てつの盾,,20,900,230,なし,"メルキドの装備屋1（900G）
リムルダールの装備屋（900G）",
装備盾,ライトシールド,,32,2050,500,なし,"メルキドの装備屋3（2050G）
メダル王の城の道具屋（2050G）
メルキド周辺 のキラキラ",
装備盾,こおりの盾,,35,-,800,呪文攻撃とブレスによる炎属性のダメージを軽減する,"ドワーフの洞窟_地下1階 の宝箱
岩泣き島_2階 のタル",
装備盾,まほうの盾,,38,4300,1120,攻撃呪文のダメージを軽減する,"メルキドの装備屋3（4300G）
メダル王の城の道具屋（4300G）",
装備盾,ふうじんの盾,,52,-,577,爆発系の呪文ダメージを軽減する,妖精の隠れ里 の宝箱,
装備盾,ほのおの盾,,56,10600,2860,呪文攻撃やブレスによる氷属性と吹雪属性のダメージを軽減する,旅人の宿屋の道具屋（10600G）,
装備盾,みかがみの盾,,63,13700,3290,なし,メルキドの装備屋2（13700G）,
装備盾,ミラーシールド,,81,26000,5980,呪文をはね返すことがあるが、自分にもはね返ることがあるので注意,"ドワーフの洞窟_地下3階の装備屋（26000G）
岩山の洞窟周辺 のひみつの場所",
装備盾,ロトの盾,,85,-,-,あらゆる呪文・ブレス系のダメージを軽減する,岩泣き島_外観 の宝箱,
装備盾,せいどうの盾,,15,680,130,なし,"メルキドの装備屋1（680G）
ガライの装備屋（680G）
岩山の洞窟_地下2階② の宝箱",
装備盾,ドラゴンシールド,,47,-,1610,炎・吹雪属性のブレスダメージを軽減する,ちいさなメダル（15枚）,
装備盾,オーガシールド,,97,-,7350,なし,あくまのきしからドロップ,
装備盾,はめつの盾,,45,-,882,敵から受ける呪文やブレスによるあらゆる属性ダメージが増加する,"ドムドーラ のタル
竜王の城_地下2階 の宝箱
じごくのよろいからドロップ",
装備盾,おなべのフタ,,2,40,8,なし,"ラダトームの道具屋（40G）
ドムドーラ東部 のひみつの場所
ガライの町 のタル",
装備装飾品,はやてのリング,,,-,720,なし,"岩泣き島周辺 のひみつの場所
ドムドーラ周辺 のキラキラ",
装備装飾品,めざましリング,,,550,80,眠りの攻撃に強くなる,"メダル王の城の道具屋（550G）
岩泣き島_2階 のツボ
ラダトーム のタンス",
装備装飾品,まんげつのリング,,,990,140,マヒの攻撃に強くなる,"メダル王の城の道具屋（990G）
雨のほこら_5階 の宝箱
妖精の隠れ里 のタル
あくまのめだまからドロップ",
装備装飾品,りせいのリング,,,-,120,混乱の攻撃に強くなる,"ドムドーラ南部 のキラキラ
ガライ_船着き場 のタンス",
装備装飾品,にげにげリング,,,-,75,戦闘中に逃げ出してしまうことがある。装備すると呪われ、教会で解呪することでしか外せなくなる。,"竜王の城_地下1階 のじめん
ガライの墓_地下1階 の宝箱",
装備装飾品,ちからのゆびわ,9,,-,262,なし,"岩泣き島周辺 のひみつの場所
ドワーフの洞窟_地下3階 の宝箱",
装備装飾品,ルビーのうでわ,,8,2050,820,なし,"メルキドの道具屋（2050G）
ドワーフの洞窟_地下1階 のじめん
岩泣き島_2階 の宝箱
おどるほうせきからドロップ",
装備装飾品,いしのかつら,,18,-,150,戦闘中に勝手に防御してしまうことがある。装備すると呪われ、教会で解呪することでしか外せなくなる。,"岩山の洞窟_地下1階 の宝箱
ドワーフの洞窟_地下2階 のタル",
装備装飾品,インテリめがね,,,-,1275,なし,ちいさなメダル（8枚）,
装備装飾品,スライムピアス,,5,950,190,なし,"旅人の宿屋の道具屋（950G）
ガライの道具屋（950G）
旅人の宿屋 のタンス",
装備装飾品,炎のイヤリング,,,-,990,呪文攻撃やブレスによる氷属性と吹雪属性のダメージを軽減する,"精霊のほこら周辺 のキラキラ
ダースドラゴンからドロップ",
装備装飾品,氷のイヤリング,,,-,990,呪文攻撃やブレスによる炎属性のダメージを軽減する,"ドムドーラ南部 のキラキラ
キースドラゴンからドロップ",
装備装飾品,海賊王の首かざり,,10,-,-,モンスターからアイテムがドロップする確率が上がる,"岩泣き島_2階 の宝箱
メダル王の城 の宝箱",
装備装飾品,死の首かざり,,5,-,1200,行動終了時にHPがすこし減る。装備すると呪われ、教会で解呪することでしか外せなくなる。,"岩山の洞窟_地下2階② の宝箱
岩泣き島_1階 のじめん",
装備装飾品,呪いのベルト,,8,-,180,行動終了時にMPがすこし減る。装備すると呪われ、教会で解呪することでしか外せなくなる。,竜王の城_地下6階 の宝箱,
装備装飾品,うさぎのしっぽ,,,270,122,なし,"マイラの道具屋（270G）
岩泣き島_2階 のツボ
ラダトーム のふくろ",
装備装飾品,しあわせのくつ,,,-,250,歩くごとに経験値が手に入る,"はぐれメタルからドロップ
予約特典としてラダトームの宿屋にある宝箱から入手",
装備装飾品,竜のうろこ,,5,200,90,なし,"メルキドの道具屋（200G）
マイラの道具屋（200G）
マイラ南部 のキラキラ
ロトの洞窟_地下1階 の宝箱
スカルゴンからドロップ",
装備装飾品,まよけのすず,,,1640,490,状態異常の攻撃に強くなる,"旅人の宿屋の道具屋（1640G）
ちいさなメダル（20枚）
聖なるほこら周辺 のひみつの場所",
装備装飾品,ロトのしるし,,,-,-,死の呪文や即死攻撃を完全に防ぐ,精霊のほこらでボス「エクソダス」を倒したあとのイベントで入手,
装備武器,どうのつるぎ,9,,180,47,なし,"メルキドの装備屋1（180G）
マイラの装備屋（189G）
マイラ南部 のキラキラ
岩泣き島_2階 のタル
さまようよろいからドロップ",
装備武器,はがねのつるぎ,23,,1700,405,なし,"メルキドの装備屋3（1700G）
リムルダールの装備屋（1700G）
竜王の城_1階 のじめん
がいこつけんしからドロップ
アンデッドマンからドロップ",
装備武器,ようせいの剣,58,,-,-,戦闘中に使うとしゅび力があがる,妖精の隠れ里 の宝箱,
装備武器,くさなぎの剣,70,,-,-,戦闘中に使うと敵1グループのしゅび力を下げる,マイラ の宝箱,
装備武器,ゆうわくの剣,79,,-,2210,戦闘中に使うと敵1体を混乱させられる,迷いの森① の宝箱,
装備武器,ほのおのつるぎ,84,,23000,4900,攻撃時に炎属性の追加ダメージを与える,メルキドの装備屋2（23000G）,
装備武器,ふぶきのつるぎ,101,,34000,10200,戦闘中に使うと敵1グループにダメージを与える,ドワーフの洞窟_地下3階の装備屋（34000G）,
装備武器,ロトのつるぎ,140,,-,-,戦闘中に使うと敵1グループにダメージを与える,竜王の城_地下1階 のじめん,
装備武器,もろはのつるぎ,148,,-,2470,攻撃するたびにダメージを受ける,竜王の城_地下5階 の宝箱,
装備武器,はかいのつるぎ,135,,-,1930,会心の一撃が出やすくなる。装備すると呪われ、教会で解呪することでしか外せなくなる,"リムルダール周辺 のひみつの場所
マーダーゴイルからドロップ",
装備武器,せいなるナイフ,10,,240,72,ゾンビ系に与えるダメージが上がる,"ラダトームの装備屋（240G）
ドムドーラ北部 のキラキラ
ラダトーム東部 のキラキラ
ロトの洞窟_地下1階 の宝箱",
装備武器,こんぼう,5,,40,16,なし,"メルキドの装備屋1（40G）
マイラの装備屋（40G）
ラダトーム周辺 のキラキラ
ラダトーム城_2階② のツボ
ドワーフの洞窟_地下2階 のタル
トロルからドロップ",
装備武器,てつのオノ,29,,2700,280,なし,"メルキドの装備屋3（2700G）
メダル王の城の道具屋（2700G）
岩山の洞窟_地下2階① のツボ",
装備武器,まじんのオノ,110,,-,375,会心の一撃が出やすいがミスも多くなる,"ラダトーム城_1階 の宝箱
トロルキングからドロップ",
装備武器,たけざお,3,,10,4,なし,"ラダトームの道具屋（10G）
ガライ周辺 のキラキラ
リムルダール のタル",
装備武器,てつのやり,17,,660,145,なし,"メルキドの装備屋1（660G）
リムルダールの装備屋（660G）
沼地の洞窟_地下1階 の宝箱
ドワーフの洞窟_地下3階 のタンス",
装備武器,ドラゴンキラー,87,,18000,3960,ドラゴン系に与えるダメージが上がる,"旅人の宿屋の道具屋（18000G）
メダル王の城の道具屋（18000G）",
装備武器,さばきの杖,36,,3180,990,戦闘中に使うと敵1グループにダメージを与える,"リムルダールの装備屋（3180G）
岩泣き島_外観 のタル",
装備武器,あまぐもの杖,16,,-,-,戦闘中に使うと敵1グループの呪文を封じる,精霊ルピス召喚後、雨のほこらで雨の賢者から貰って入手,
装備武器,てんばつの杖,55,,-,1430,戦闘中に使うと敵1グループにダメージを与える,聖なるほこら周辺 のキラキラ,
装備武器,えいゆうの杖,91,,-,730,戦闘で使うとブレスダメージを軽減する,ちいさなメダル（30枚）,
装備武器,とげのムチ,12,,-,112,敵1グループをまとめて攻撃できる,"ラダトーム東部 のひみつの場所
岩泣き島_外観 のタル",
装備武器,はがねのムチ,40,,4400,880,グループ単位で攻撃できる,マイラの道具屋（4400G）,
装備武器,バスターウィップ,82,,-,1780,敵1グループをまとめて攻撃できる,ちいさなメダル（25枚）,
装備武器,あくまのムチ,90,,-,2600,グループ単位で攻撃できる,メダル王の城 の宝箱,
装備武器,グリンガムのムチ,118,,-,21000,グループ単位で攻撃できる,ちいさなメダル（40枚）,
装備武器,ブーメラン,10,,-,130,敵全体に攻撃できるがヒットするにつれて威力が下がる,岩山の洞窟_地下1階 の宝箱,
装備武器,やいばのブーメラン,16,,-,384,敵全体に攻撃できるがヒットするにつれて威力が下がる,"リムルダール周辺 のひみつの場所
メルキド周辺 のキラキラ",
装備武器,ツインスワロー,52,,-,1140,虫系に与えるダメージが上がる。敵全体に攻撃できるがヒットするにつれて威力が下がる,ちいさなメダル（17枚）,
装備武器,ほのおのブーメラン,71,,26000,6500,敵全体に攻撃できるがヒットするにつれて威力が下がる,ドワーフの洞窟_地下3階の装備屋（26000G）,
装備武器,メタルウィング,102,,-,27250,メタル系の敵にダメージを与えやすくなる。敵全体に攻撃できるがヒットするにつれて威力が下がる,ちいさなメダル（37枚）,
装備服,皮のよろい,,12,180,38,なし,"マイラの装備屋（180G）
ラダトームの装備屋（180G）
マイラ周辺 のキラキラ
ラダトーム城_2階・隠し部屋 のタル
ガライの町 のタンス
がいこつからドロップ
しりょうのきしからドロップ",
装備服,てつのよろい,,30,1800,510,なし,"マイラの装備屋（1800G）
ドムドーラ南部 のキラキラ
メルキド のタンス
よろいのきしからドロップ",
装備服,はがねのよろい,,37,3500,700,なし,マイラの道具屋（3500G）,
装備服,まほうのよろい,,50,7700,2000,あらゆる攻撃呪文のダメージを軽減する,"メルキドの装備屋3（7700G）
メダル王の城の道具屋（7700G）",
装備服,ゾンビメイル,,49,-,652,歩くごとにHPが減っていく,"岩山の洞窟_地下2階② の宝箱
岩泣き島_1階 のじめん
スカルナイトからドロップ",
装備服,ドラゴンメイル,,80,13800,2760,呪文攻撃やブレスによる炎属性のダメージを軽減する,"メルキドの装備屋3（13800G）
メダル王の城の道具屋（13800G）",
装備服,ガイアのよろい,,68,-,-,呪文やブレスによる炎系のダメージを軽減する,ドワーフの洞窟_地下3階 の宝箱,
装備服,やいばのよろい,,88,18550,1720,受けた物理ダメージの半分を敵にはね返す,"ドワーフの洞窟_地下3階の装備屋（18550G）
岩泣き島周辺 のひみつの場所",
装備服,バンデッドメイル,,104,39800,7960,なし,ドワーフの洞窟_地下3階の装備屋（39800G）,
装備服,ほのおのよろい,,94,34300,8230,呪文攻撃やブレスによる氷属性と吹雪属性のダメージを軽減する,旅人の宿屋の道具屋（34300G）,
装備服,ロトのよろい,,118,-,-,歩くたびに少しずつHPが回復する。毒の沼地やバリア床から受けるダメージを無効化する。あらゆる呪文・ブレス系のダメージを軽減する,ドムドーラであくまのきしを倒した後、光っている地面を調べると入手,
装備服,じごくのよろい,,110,-,2100,攻撃呪文のダメージを軽減するが、戦闘中にときどきマヒ状態になる,竜王の城_地下4階 の宝箱,
装備服,布の服,,4,20,4,なし,"ガライの道具屋（20G）
ラダトームの装備屋（20G）
ラダトーム周辺 のキラキラ
マイラ周辺 のキラキラ
ガライの墓_地下1階 のタル
リビングデッドからドロップ
リカントからドロップ",
装備服,皮の服,,6,50,14,なし,"メルキドの装備屋1（50G）
ガライの装備屋（50G）
ラダトーム周辺 のキラキラ
リムルダール周辺 のキラキラ
メルキド のタンス
街道の宿屋 のタル",
装備服,たびびとの服,,8,70,26,なし,"ラダトーム周辺 のキラキラ
マイラ南部 のキラキラ
メルキド のタル",
装備服,くさりかたびら,,18,520,125,なし,"メルキドの装備屋1（520G）
ガライの装備屋（520G）
メルキド のタンス
かげのきしからドロップ",
装備服,みかわしの服,,25,1200,290,敵の物理攻撃をかわしやすくなる,"リムルダールの装備屋（1200G）
ドムドーラ北部 のキラキラ",
装備服,はでな服,,43,-,1520,なし,"リムルダール周辺 のひみつの場所
岩泣き島_2階 の宝箱",
装備服,しのびの服,,64,-,1260,敵の物理攻撃をかわしやすくなる,"ドムドーラ周辺 のひみつの場所
シルエトからドロップ",
装備服,ふしぎなボレロ,,50,-,375,呪文・特技の消費MPが半分になる,ちいさなメダル（12枚）,
装備服,やみのころも,,97,-,8660,敵の物理攻撃をかわしやすくなる,ガライの墓_地下3階① のツボ,
装備服,なりきんベスト,,28,-,-,戦闘後に入手するゴールドが増える,ガライ_船着き場 の宝箱,
装備服,毛皮のベスト,,36,3900,655,炎系や吹雪系のダメージを軽減してくれる,ドワーフの洞窟_地下2階 のタル,
装備服,はやてのベスト,,52,-,790,なし,聖なるほこら周辺 のひみつの場所,
装備服,大樹のマント,,112,-,17400,敵の呪文封印やMP吸収、混乱から逃れやすくなる,ドムドーラ東部 のひみつの場所,
装備服,ステテコパンツ,,10,-,30,なし,"ラダトーム城_1階 のじめん
マイラ のツボ",
装備服,ねこぐるみ,,33,-,262,装備するとキャラの見た目がネコに変化する,ガライ_船着き場 のタンス,
装備服,いぬぐるみ,,33,-,262,装備するとキャラの見た目がイヌに変化する,"ラダトーム城_地下1階 のタンス
キラーリカントからドロップ
HD-2D版『ドラゴンクエスト3 そして伝説へ…』のセーブデータがあるとラダトームの宿屋にある宝箱から入手",
道具,やくそう,,,8,4,HPを30〜回復,"旅人の宿屋の道具屋（8G）
メルキドの道具屋（8G）
ロトの洞窟_地下2階 のツボ
ドワーフの洞窟_地下1階 のツボ
スライムからドロップ
スライムベスからドロップ",
道具,上やくそう,,,48,34,上やくそうを妖精の隠れ里で錬金するHPを50〜回復,"メルキドの道具屋（48G）
マイラの道具屋（48G）
岩山の洞窟_地下2階① のツボ
岩山の洞窟_地下2階② のツボ
メーダロードからドロップ
ゴートドンからドロップ",
道具,特やくそう,,,70,49,HPを80〜回復,"沼地の洞窟_地下2階 の宝箱
雨のほこら_5階 の宝箱",
道具,まほうのせいすい,,,600,180,MPを15〜回復,"ロトの洞窟_地下2階 のツボ
岩山の洞窟_地下2階② の宝箱
まほうつかいからドロップ
まどうしからドロップ",
道具,けんじゃのせいすい,,,-,2940,MPを100ほど回復,"メダル王の城 の宝箱
旅人の宿屋 の宝箱
ミミックからドロップ",
道具,エルフののみぐすり,,,40000,8800,MPを完全に回復,ラダトーム城_1階 の宝箱,
道具,いのりのゆびわ,,,2500,1750,MPを少し回復。使うとたまに壊れる,"ちいさなメダル（5枚）
竜王の城_地下6階 の宝箱
ラダトーム城_1階 のタル
ひとくいばこからドロップ",
道具,どくけしそう,,,10,5,どくを治す,"旅人の宿屋の道具屋（10G）
メルキドの道具屋（10G）
ラダトーム城_裏庭 のツボ
岩山の洞窟_地下1階 のタル
バブルスライムからドロップ
ポイズントードからドロップ",
道具,マヌーハそう,,,120,84,幻惑を治す,"メルキドの道具屋（120G）
マイラの道具屋（120G）
じんめんちょうからドロップ
メーダからドロップ",
道具,ささやきのみつ,,,150,105,ささやきのみつを妖精の隠れ里で錬金する呪文封印を治す,"ガライの道具屋（150G）
雨のほこら_2階 のタル
マイラ のツボ
こうもりおとこからドロップ
メイジドラキーからドロップ",
道具,せいすい,,,20,10,せいすいを妖精の隠れ里で錬金する弱い魔物を寄せつけない水,"旅人の宿屋の道具屋（20G）
メルキドの道具屋（20G）
ラダトーム城_1階 のツボ
妖精の隠れ里 のタル
ゴーストからドロップ
ゆうれいからドロップ",
道具,まだらくもいと,,,35,25,まだらくもいとを妖精の隠れ里で錬金する敵1グループのすばやさを下げる,"メルキドの道具屋（35G）
マイラの道具屋（35G）
岩山の洞窟_地下1階 のタル
リムルダール のタル
おおさそりからドロップ
フロストギズモからドロップ",
道具,どくがのこな,,,310,60,どくがのこなを妖精の隠れ里で錬金する敵1体を混乱させる毒粉,"メルキドの道具屋（310G）
岩泣き島_1階 の宝箱
しのさそりからドロップ
ゴーゴンヘッドからドロップ",
道具,バイキルミン,,,700,280,バイキルミンを妖精の隠れ里で錬金する攻撃力をかなり上げる,"ドワーフの洞窟_地下3階 のタンス
岩泣き島_2階 のツボ",
道具,キメラのつばさ,,,25,12,キメラのつばさを妖精の隠れ里で錬金する訪れたことがある町やダンジョンへ瞬時に移動する,"旅人の宿屋の道具屋（25G）
メルキドの道具屋（25G）
ロトの洞窟_地下2階 の宝箱
ラダトーム城_1階 のツボ
ドラキーからドロップ
キメラからドロップ",
道具,命の石,,,800,240,持ち主の代わりに死の攻撃を受ける身代わりの石,"ドワーフの洞窟_地下2階 のツボ
竜王の城_地下6階 の宝箱
ゴールドマンからドロップ
ミニデーモンからドロップ",
道具,ちからのたね,,,-,180,ちからが少しだけあがる魔法の種,"ラダトーム城_地下1階 のタル
ラダトーム のタル
ストーンマンからドロップ",
道具,まもりのたね,,,-,160,みのまもりが少しだけあがる魔法の種,"ラダトーム城_2階② のツボ
ドワーフの洞窟_地下1階 のツボ
ガニラスからドロップ",
道具,スタミナのたね,,,-,90,たいりょくが少しだけあがる魔法の種,"旅人の教会 のふくろ
岩山の洞窟_地下2階② のタル
しにがみのきしからドロップ",
道具,かしこさのたね,,,-,120,かしこさが少しだけあがる魔法の種,"竜王の城_地下1階 のじめん
ガライの町 のツボ
ヘルゴーストからドロップ",
道具,すばやさのたね,,,-,60,すばやさが少しだけあがる魔法の種,"ラダトーム城_1階 のタル
ラダトーム城_1階 のタル
メタルスライムからドロップ
ソードイドからドロップ",
道具,ラックのたね,,,-,45,うんのよさが少しだけあがる魔法の種,"ラダトーム城_裏庭 のツボ
沼地の洞窟_地下1階 のツボ
スターキメラからドロップ",
道具,命のきのみ,,,-,150,さいだいHPが少しだけあがる魔法の実,"ラダトーム のじめん
ラダトーム のツボ
ドラゴンゾンビからドロップ",
道具,ふしぎなきのみ,,,-,60,さいだいMPが少しだけあがる魔法の実,"岩泣き島_2階 のじめん
竜王の城_地下6階 の宝箱
まおうのかげからドロップ",
道具,ようせいのふえ,,,-,-,▶︎ようせいのふえの場所詳細メルキドのゴーレムとの戦闘で使用すると眠らせることができる,マイラの温泉の南側で拾う,
道具,ぎんのたてごと,,,-,-,▶︎ぎんのたてごとの場所詳細使用すると魔物との戦闘になる。何度でも使用可能,ストーリー中にガライの墓の最奥で拾う,
道具,においぶくろ,,,150,105,においぶくろを妖精の隠れ里で錬金する独特なにおいで魔物と遭遇しやすくなる,"メルキドの道具屋（150G）
リムルダールの道具屋（150G）
旅人の教会 のツボ
ドムドーラ のタル
わらいぶくろからドロップ
ドラゴンフライからドロップ",
道具,たたかいのドラム,,,,,こうげき力を高めるパワフルなドラム。戦闘中に何度でも使える,ちいさなメダル（39枚）,
道具,ミラクルの巻物,,,,,▶︎ミラクルの巻物の場所詳細使用するとミラクルソードを覚える,"ドワーフの洞窟_地下1階 の宝箱
ドワーフの洞窟・地下1階",
道具,やいばくだきの巻物,,,,,▶︎やいばくだきの巻物の場所詳細使用するとやいばくだきを覚える,"メルキド のタンス
メルキドの西側にある民家2階のクローゼット",
道具,ゾンビ斬りの巻物,,,,,▶︎ゾンビ斬りの巻物の場所詳細使用するとゾンビ斬りを覚える,"ドワーフの洞窟_地下2階 の宝箱
ドワーフの洞窟・地下2階",
道具,あくま斬りの巻物,,,,,▶︎あくま斬りの巻物の場所詳細使用するとあくま斬りを覚える,"ドムドーラ のタル
ドムドーラの武器屋にあるタル",
道具,マヒャド斬りの巻物,,,,,▶︎マヒャド斬りの巻物の場所詳細使用するとマヒャド斬りを覚える,"ガライの墓_地下3階① の宝箱
ガライの墓・地下3階にある宝箱（最後の鍵）",
道具,めいそうの巻物,,,,,▶︎めいそうの巻物の場所詳細使用するとめいそうを覚える,"ちいさなメダル（35枚）
ちいさなメダル35枚目の報酬",
道具,せいしんの巻物,,,,,▶︎せいしんの巻物の場所詳細使用するとせいしんとういつを覚える,"迷いの森② の宝箱
迷いの森2マップ目",
道具,ちからための巻物,,,,,▶︎ちからための巻物の場所詳細使用するとちからためを覚える,"岩山の洞窟_地下2階② の宝箱
岩山の洞窟・地下2階",
道具,ビーストの巻物,,,,,▶︎ビーストの巻物の場所詳細使用するとビーストモードを覚える,"ちいさなメダル（10枚）
ちいさなメダル10枚目の報酬",
道具,すなけむりの巻物,,,,,▶︎すなけむりの巻物の場所詳細使用するとすなけむりを覚える,"ロトの洞窟_地下1階 の宝箱
ロトの洞窟・地下1階",
道具,とうぞくの巻物,,,,,▶︎とうぞくの巻物の場所詳細使用するととうぞくのはなを覚える,"岩山の洞窟_地下1階 の宝箱
岩山の洞窟・地下1階",
道具,しのびあしの巻物,,,,,▶︎しのびあしの巻物の場所詳細使用するとしのびあしを覚える,"ドムドーラ のじめん
ドムドーラの北東の毒沼近くの地面",
道具,くちぶえの巻物,,,,,▶︎くちぶえの巻物の場所詳細使用するとくちぶえを覚える,"ガライの墓_地下1階 の宝箱
ガライの墓・地下1階にある宝箱（盗賊の鍵）",
道具,トラマナの巻物,,,,,▶︎トラマナの巻物の場所詳細使用するとトラマナを覚える,"ガライの町 のタンス
ガライの民家の本棚",
道具,レミラーマの巻物,,,,,▶︎レミラーマの巻物の場所詳細使用するとレミラーマを覚える,"ラダトーム城_1階 の宝箱
ラダトーム城・1階で、最後の鍵で開けた先の宝箱",
道具,ヒャドの巻物,,,,,▶︎ヒャドの巻物の場所詳細使用するとヒャドを覚える,"雨のほこら_1階 の宝箱
雨のほこら・1階",
道具,ヒャダルコの巻物,,,,,▶︎ヒャダルコの巻物の場所詳細使用するとヒャダルコを覚える,"妖精の隠れ里 の宝箱
妖精の隠れ里の民家の宝箱",
道具,ヒャダインの巻物,,,,,▶︎ヒャダインの巻物の場所詳細使用するとヒャダインを覚える,"岩泣き島_外観 の宝箱
岩泣き島・外観",
道具,ベホイムの巻物,,,,,▶︎ベホイムの巻物の場所詳細使用するとベホイムを覚える,"メルキド のタンス
メルキドの西側にある民家2階の本棚",
道具,リホイミの巻物,,,,,▶︎リホイミの巻物の場所詳細使用するとリホイミを覚える,"メダル王の城 の宝箱
メダル王の城にある、盗賊の鍵で開ける宝箱",
道具,バリアの巻物,,,,,▶︎バリアの巻物の場所詳細使用するとマジックバリアを覚える,"リムルダール の宝箱
リムルダールのカギの魔法使いの家の中",
道具,マホステの巻物,,,,,▶︎マホステの巻物の場所詳細使用するとマホステを覚える,"妖精の隠れ里 のタンス
妖精の隠れ里の民家の本棚",
道具,せかいの地図,,,,,初期から所持-,,
道具,とうぞくのかぎ,,,,,岩山の洞窟でボス「ようじゅつし」を倒した後のイベントで入手赤い扉や赤い宝箱を開けられる,,
道具,まほうのかぎ,,,,,ドワーフの洞窟でドワーフを助けた後、リムルダールの魔法使いから入手青色の扉や青い宝箱を開けられる,,
道具,さいごのかぎ,,,,,マイラでボス「エイリアンフライ」を倒すと入手緑色の扉や緑の宝箱を開けられる,,
道具,ひかりのたま,,,,,りゅうおうを倒してクリアすると入手-,,
道具,たいようの石,,,,,▶︎たいようの石の場所詳細-,ラダトームの城の地下1階で魔法の鍵の扉を開けた先でおじいさんから貰う,
道具,虹のしずく,,,,,▶︎虹のしずくの場所詳細-,たいようの石・あまぐもの杖・ロトのしるしを入手した後、聖なるほこらに行くとイベントが発生して入手,
道具,たいようの紋章,,,,,不滅の炎を妖精の隠れ里で錬金すると入手特技で会心ダメージが出るようになる,,
道具,ほしの紋章,,,,,星くずの砂を妖精の隠れ里で錬金すると入手戦闘中に防御コマンドを使用するとMPが回復する,,
道具,つきの紋章,,,,,月光のしずくを妖精の隠れ里で錬金すると入手一定確率で呪文が暴走して強化される,,
道具,みずの紋章,,,,,湧き水の結晶を妖精の隠れ里で錬金すると入手道具の効果が強化される,,
道具,いのちの紋章,,,,,ひかるタネを妖精の隠れ里で錬金すると入手戦闘中に超絶技を放てるようになる,,
道具,おうじょのくびかざり,,,,,ローラ姫を救出しラダトームに送り届けるとイベントで入手-,,
道具,かがやき草,,,,,ひみつの花畑で光っている場所を調べると入手-,,
道具,目覚めの花,,,,,ひみつの花畑で光っている場所を調べると入手-,,
道具,灯火のシロップ,,,,,かがやき草と目覚めの花を入手した後、妖精の隠れ里でボスを倒すと入手-,,
道具,ひかるタネ,,,,,ひみつの花畑でかがやき草・目覚めの花と同時に入手-,,
道具,不滅の炎,,,,,迷いの森の最奥で拾って入手-,,
道具,月光のしずく,,,,,沼地の洞窟の最奥で拾って入手-,,
道具,星くずの砂,,,,,岩泣き島の最奥で拾って入手-,,
道具,湧き水の結晶,,,,,ドワーフの洞窟の井戸内で拾って入手-,,
道具,きれいな水,,,,,妖精の隠れ里の錬金するとせいすいを作れる,"ラダトーム のタル
雨のほこら_5階 のツボ",
道具,くもの巣,,,,,妖精の隠れ里の錬金するとまだらくもいとを作れる,"ラダトーム のタル
ガライの墓_地下2階 のタル",
道具,なぞのこな,,,,,妖精の隠れ里の錬金するとどくがのこなを作れる,ドワーフの洞窟_地下2階 のツボ,
