種別,名前,消費MP,基礎最小,基礎最大,高賢さ最小,高賢さ最大,倍率,専用,効果,習得レベル,巻物取得可能,備考,,,,,,,,,,元行
呪文,マホトーン,5,,,,,,,敵1グループの呪文を封じる,10,,,,,,,,,,,,31
呪文,リレミト,0,,,,,,,町やダンジョンの外へ一瞬で移動する,12,,,,,,,,,,,,32
呪文,ルーラ,0,,,,,,,一度行った町やダンジョンに一瞬で移動する,13,,,,,,,,,,,,33
呪文,トヘロス,4,,,,,,,聖なるオーラで弱い魔物を寄せ付けない,15,,,,,,,,,,,,34
呪文,ベホイミ,6,,,,,,,HPを75〜回復する,17,,,,,,,,,,,,35
呪文,フバーハ,8,,,,,,,ブレスダメージを軽減する,32,,,,,,,,,,,,36
呪文,マジックバリア,6,,,,,,,敵の呪文攻撃を防ぐバリア,,バリアの巻物,"巻物入手: リムルダール の宝箱
リムルダールのカギの魔法使いの家の中",,,,,,,,,,37
呪文,マホステ,6,,,,,,,呪文をかきけすバリアを張る,,マホステの巻物,"巻物入手: 妖精の隠れ里 のタンス
妖精の隠れ里の民家の本棚",,,,,,,,,,38
呪文,ベホイム,10,,,,,,,HPを164〜回復する,,ベホイムの巻物,"巻物入手: メルキド のタンス
メルキドの西側にある民家2階の本棚",,,,,,,,,,39
呪文,リホイミ,6,,,,,,,HPを少しずつ回復する,,リホイミの巻物,"巻物入手: メダル王の城 の宝箱
メダル王の城にある、盗賊の鍵で開ける宝箱",,,,,,,,,,40
呪文,トラマナ,2,,,,,,,すこしの間、地面からのダメージを受けなくなる,,トラマナの巻物,"巻物入手: ガライの町 のタンス
ガライの民家の本棚",,,,,,,,,,41
呪文,レミラーマ,2,,,,,,,町やダンジョンで画面内にある未入手のアイテムの場所を光らせる。,,レミラーマの巻物,"巻物入手: ラダトーム城_1階 の宝箱
ラダトーム城・1階で、最後の鍵で開けた先の宝箱",,,,,,,,,,42
呪文,ギラ,4,17,28,22,36,,,敵1グループを小さな炎で攻撃,4,,,,,,,,,,,,43
呪文,デイン,6,40,50,52,65,,,敵1体にいなずまが落ちる,8,,,,,,,,,,,,44
呪文,ベギラマ,8,32,46,41,59,,,敵1グループをはげしい炎で焼き払う,14,,,,,,,,,,,,45
呪文,ライデイン,10,70,90,91,117,,,敵1体にはげしい雷が降りそそぐ,21,,,,,,,,,,,,46
呪文,ベギラゴン,16,88,122,114,158,,,敵1グループを地獄の火炎で焼き払う,30,,,,,,,,,,,,47
呪文,ギガデイン,30,175,225,227,292,,,敵全体にすさまじい雷が降りそそぐ,35,,,,,,,,,,,,48
呪文,ヒャド,3,25,35,32,45,,,小さな氷のやいばで敵1体を攻撃,,ヒャドの巻物,"巻物入手: 雨のほこら_1階 の宝箱
雨のほこら・1階",,,,,,,,,,49
呪文,ヒャダルコ,9,42,58,54,75,,,氷のやいばで敵1グループを氷で包み込む,,ヒャダルコの巻物,"巻物入手: 妖精の隠れ里 の宝箱
妖精の隠れ里の民家の宝箱",,,,,,,,,,50
呪文,ヒャダイン,12,68,85,88,110,,,無数の氷の塊が敵全体に降りそそぐ,,ヒャダインの巻物,"巻物入手: 岩泣き島_外観 の宝箱
岩泣き島・外観",,,,,,,,,,51
超絶技,ミラクルゾーン,55,,,,,,,条件 HP50％以下／リホイミ数ターンの間、MPを消費しなくなる。,,,必要技: マジックバリア,,,,,,,,,,54
超絶技,災禍の陣,16,,,,,,,条件 HP50％以下／リホイミ敵1グループの守備力と呪文耐性を下げる,,,必要技: マホトーン,,,,,,,,,,55
超絶技,やいばのぼうぎょ,25,,,,,,,条件 HP50％以下／リホイミそのターンの間、ぼうぎょしつつ物理攻撃されたら反撃する。,,,必要技: 大ぼうぎょ,,,,,,,,,,56
超絶技,超ちからため,12,,,,,,,条件 HP50％以下／リホイミ次のターンの攻撃で3倍のダメージを与える。,,,必要技: ちからため,,,,,,,,,,57
超絶技,ぶんしん,40,,,,,,,条件 HP50％以下／リホイミ自らの分身を2体作り、同じ行動をさせる,,,必要技: ビーストモード,,,,,,,,,,58
超絶技,ジゴスパーク,36,,,,,,,条件 HP50％以下／せいしんとういつ敵全体にダメージを与え、たまにマヒ状態にさせる,,,必要技: ギガデイン,,,,,,,,,,59
超絶技,まじゅう斬り,22,,,,,1.5,3.4,条件 HP50％以下／せいしんとういつ敵1体にダメージを与える。けもの系にはダメージが増加する,,,必要技: けもの突き,,,,,,,,,,60
超絶技,竜王斬り,22,,,,,1.5,3.5,条件 HP50％以下／せいしんとういつ敵1体にダメージを与える。ドラゴン系にはダメージが増加する,,,必要技: ドラゴン斬り,,,,,,,,,,61
超絶技,空裂斬,34,,,,,1.5,,条件 HP50％以下／せいしんとういつ敵全体にダメージを与える。ゾンビ系・物質系・不定形の敵にはダメージが増加する,,,必要技: しんくう斬り,,,,,,,,,,62
超絶技,雷光一閃突き,30,,,,,,,条件 HP50％以下／せいしんとういつ。3分の1で会心,,,必要技: いなずま斬り,,,,,,,,,,63
超絶技,超はやぶさ斬り,38,,,,,0.8,,条件 HP50％以下／せいしんとういつ敵1体に4回攻撃を行う,,,必要技: はやぶさ斬り,,,,,,,,,,64
超絶技,グランドクロス,26,,,,,2.5,4.5,条件 HP50％以下／せいしんとういつ敵全体にダメージを与える。ゾンビ系にはダメージが増加する,,,必要技: ゾンビ斬り,,,,,,,,,,65
超絶技,覇王斬,24,114,184,,,,,条件 HP50％以下／せいしんとういつ敵全体にダメージを与える。,,,必要技: あくま斬り,,,,,,,,,,66
超絶技,バーニングバード,40,,,,,,,条件 ローラ姫の祈りの効果中強化されたベギラゴンで敵全体にダメージ,,,必要技: ベギラゴン,,,,,,,,,,67
超絶技,ギガブレイク,55,,,,,,,条件 ローラ姫の祈りの効果中ギガスラッシュの上位互換。敵全体にダメージを与える,,,必要技: ギガスラッシュ,,,,,,,,,,68
