レベル,DQ2ローレシア王子,次レベルまで,DQ2サマルトリア王子,次レベルまで,DQ2ムーンブルク王女,次レベルまで,DQ2サマルトリア王女,次レベルまで
47,"754,960","65,711","743,822","76,452","754,866","83,443","714,110","67,517"
48,"820,671","68,708","820,274","81,373","838,309","90,031","781,627","71,155"
49,"889,379","71,704","901,647","86,295","928,340","96,616","852,782","74,791"
50,"961,083","75,342","987,942","91,218","1,024,956","102,716","927,573","78,431"
51,"1,036,425","76,434","1,079,160","91,993","1,127,672","103,546","1,006,004","79,451"
52,"1,112,859","77,588","1,171,153","92,823","1,231,218","104,537","1,085,455","80,528"
53,"1,190,447","78,809","1,263,976","93,705","1,335,755","105,688","1,165,983","81,657"
54,"1,269,256","80,093","1,357,681","94,641","1,441,443","107,000","1,247,640","82,838"
55,"1,349,349","81,441","1,452,322","95,632","1,548,443","107,000","1,330,478","84,075"
56,"1,430,790","82,854","1,547,954","96,674","1,655,443","107,000","1,414,553","85,363"
57,"1,513,644","84,329","1,644,628","97,772","1,762,443","107,000","1,499,916","86,707"
58,"1,597,973","85,871","1,742,400","98,921","1,869,443","107,000","1,586,623","88,103"
59,"1,683,844","87,476","1,841,321","100,125","1,976,443","107,000","1,674,726","89,552"
60,"1,771,320","89,145","1,941,446","101,383","2,083,443","107,000","1,764,278","91,057"
61,"1,860,465","90,874","2,042,829","102,693","2,190,443","107,000","1,855,335","92,612"
62,"1,951,339","92,654","2,145,522","104,058","2,297,443","107,000","1,947,947","94,224"
63,"2,043,993","94,506","2,249,580","105,502","2,404,443","107,000","2,042,171","95,888"
64,"2,138,499","96,421","2,355,082","107,000","2,511,443","107,000","2,138,059","97,604"
65,"2,234,920","98,412","2,462,082","107,000","2,618,443","107,000","2,235,663","99,376"
66,"2,333,332","100,466","2,569,082","107,000","2,725,443","107,000","2,335,039","101,199"
67,"2,433,798","102,584","2,676,082","107,000","2,832,443","107,000","2,436,238","103,079"
68,"2,536,382","104,760","2,783,082","107,000","2,939,443","107,000","2,539,317","105,013"
69,"2,641,142","107,000","2,890,082","107,000","3,046,443","107,000","2,644,330","107,000"
70,"2,748,142","107,000","2,997,082","107,000","3,153,443","107,000","2,751,330","107,000"
71,"2,855,142","107,000","3,104,082","107,000","3,260,443","107,000","2,858,330","107,000"
72,"2,962,142","107,000","3,211,082","107,000","3,367,443","107,000","2,965,330","107,000"
73,"3,069,142","107,000","3,318,082","107,000","3,474,443","107,000","3,072,330","107,000"
74,"3,176,142","107,000","3,425,082","107,000","3,581,443","107,000","3,179,330","107,000"
75,"3,283,142","107,000","3,532,082","107,000","3,688,443","107,000","3,286,330","107,000"
76,"3,390,142","107,000","3,639,082","107,000","3,795,443","107,000","3,393,330","107,000"
77,"3,497,142","107,000","3,746,082","107,000","3,902,443","107,000","3,500,330","107,000"
78,"3,604,142","107,000","3,853,082","107,000","4,009,443","107,000","3,607,330","107,000"
79,"3,711,142","107,000","3,960,082","107,000","4,116,443","107,000","3,714,330","107,000"
80,"3,818,142","107,000","4,067,082","107,000","4,223,443","107,000","3,821,330","107,000"
81,"3,925,142","107,000","4,174,082","107,000","4,330,443","107,000","3,928,330","107,000"
82,"4,032,142","107,000","4,281,082","107,000","4,437,443","107,000","4,035,330","107,000"
83,"4,139,142","107,000","4,388,082","107,000","4,544,443","107,000","4,142,330","107,000"
84,"4,246,142","107,000","4,495,082","107,000","4,651,443","107,000","4,249,330","107,000"
85,"4,353,142","107,000","4,602,082","107,000","4,758,443","107,000","4,356,330","107,000"
86,"4,460,142","107,000","4,709,082","107,000","4,865,443","107,000","4,463,330","107,000"
87,"4,567,142","107,000","4,816,082","107,000","4,972,443","107,000","4,570,330","107,000"
88,"4,674,142","107,000","4,923,082","107,000","5,079,443","107,000","4,677,330","107,000"
89,"4,781,142","107,000","5,030,082","107,000","5,186,443","107,000","4,784,330","107,000"
90,"4,888,142","107,000","5,137,082","107,000","5,293,443","107,000","4,891,330","107,000"
91,"4,995,142","107,000","5,244,082","107,000","5,400,443","107,000","4,998,330","107,000"
92,"5,102,142","107,000","5,351,082","107,000","5,507,443","107,000","5,105,330","107,000"
93,"5,209,142","107,000","5,458,082","107,000","5,614,443","107,000","5,212,330","107,000"
94,"5,316,142","107,000","5,565,082","107,000","5,721,443","107,000","5,319,330","107,000"
95,"5,423,142","107,000","5,672,082","107,000","5,828,443","107,000","5,426,330","107,000"
96,"5,530,142","107,000","5,779,082","107,000","5,935,443","107,000","5,533,330","107,000"
97,"5,637,142","107,000","5,886,082","107,000","6,042,443","107,000","5,640,330","107,000"
98,"5,744,142","107,000","5,993,082","107,000","6,149,443","107,000","5,747,330","107,000"
99,"5,851,142",-,"6,100,082",-,"6,256,443",-,"5,854,330",-
