No,町・ダンジョン名,名称,場所
137,沼地の洞窟,ふしぎなぼうし,B2F中央やや北の通路の突き当たりの泉のそばの宝箱
138,沼地の洞窟,ひとくいばこ,B2F北部の宝箱
139,沼地の洞窟,まほうのせいすい×2,B2F北の燭台そばのタル
140,沼地の洞窟,ちいさなメダル,B2F北端の通路突き当たりの宝箱
141,沼地の洞窟,ラックのたね,B1Fの東側エリアの北東端のツボ
142,沼地の洞窟,211G,B1Fの東側エリアの北東端のタル
143,迷いの森,ちいさなメダル,1エリア目・東の広い場所の宝箱
144,迷いの森,ささや木の樹液,1エリア目・西端の宝箱
145,迷いの森,ゆうわくの剣,1エリア目・北西の突き当たりの宝箱
146,迷いの森,1409G,1エリア目・最も北西に突き出た道の突き当たり
147,迷いの森,せいしんの巻物,2エリア目・中央の道の突き当たりの宝箱
148,迷いの森,不滅の炎,2エリア目・北東端のキラキラ
149,迷いの森,ひとくいばこ,2エリア目・南西の宝箱
150,迷いの森,かげのターバン,2エリア目・北西の宝箱
151,メルキド,31G,ゴールド銀行の右側のタル
152,メルキド,ちいさなメダル,町の東側の墓場の右の墓の前の地面
153,メルキド,せいすい×2,北側の武器屋の入口そばのツボ
154,メルキド,たびびとの服,南東の武器屋の右側のタル
155,メルキド,やくそう×3,町中央の池の西側の柱の陰にあるツボ
156,メルキド,いやしの双葉,町南西の家の囲いと町の外壁との間の細い道の途中の地面
157,メルキド,すばやさのたね,北東の見張り台2Fのタル
158,メルキド,まほうのせいすい×2,宿屋客室の宝箱
159,メルキド,ステテコパンツ,宿屋客室のタンス
160,メルキド,ささやきのみつ,南東の武器屋の手前のツボ
161,メルキド,ラックのたね,南東の武器屋の奥のツボ
162,メルキド,皮の服,南東の武器屋の右のタンス
163,メルキド,バイキルミン,南東の武器屋の左のタンス
164,メルキド,かしこさのたね,西の建物1Fのツボ
165,メルキド,てつのよろい,西の建物2Fの右の部屋の右のタンス
166,メルキド,やいばくだきの巻物,西の建物2Fの右の部屋の左のタンス
167,メルキド,ベホイムの巻物,西の建物2Fの左の部屋の右から二番目の本棚
168,メルキド,きのぼうし,南西の建物内の左のタンス
169,メルキド,くさりかたびら,南西の建物内の右のタンス
170,岩泣き島,あぶないエキス,1F中央やや北西の宝箱
171,岩泣き島,においぶくろ,1F南の宝箱
172,岩泣き島,ゾンビメイル,1F南西端の白い部分の地面
173,岩泣き島,ちいさなメダル,1F北西の宝箱
174,岩泣き島,死の首かざり,ちいさなメダルの宝箱の東側となりの行き止まりの地面
175,岩泣き島,4452G,2F西エリアの北東の宝箱
176,岩泣き島,どくがのこな×2,1F北エリアの東の宝箱
177,岩泣き島,ちいさなメダル,2F南東エリアの南の宝箱
178,岩泣き島,星くずの砂,外観西エリアの最深部のキラキラ光る地面
179,岩泣き島,ヒャダインの巻物,外観西エリアの最深部の宝箱
180,岩泣き島,マタタビ草×2,外観西エリアの最深部の左のツボ
181,岩泣き島,まほうのせいすい×3,外観西エリアの最深部の右のツボ
182,岩泣き島,とげのムチ,外観西エリアの最深部の左のタル
183,岩泣き島,さばきの杖,外観西エリアの最深部の右のタル
184,岩泣き島,ふしぎなきのみ,2F最深部エリアの途中、右に進んだ突き当りの地面
185,岩泣き島（最深部）,バイキルミン,東側のツボ
186,岩泣き島（最深部）,どうのつるぎ,東側のタル
187,岩泣き島（最深部）,ルビーのうでわ,東側の宝箱
188,岩泣き島（最深部）,はでな服,中央の左の赤い宝箱
189,岩泣き島（最深部）,海賊王の首かざり,中央の右の青い宝箱
190,岩泣き島（最深部）,うさぎのしっぽ,西側の右のツボ
191,岩泣き島（最深部）,めざましリング,西側の左のツボ
192,岩泣き島（最深部）,こおりの盾,西側のタル
193,岩泣き島（最深部）,ミミック,西側の宝箱
194,ガライの墓,やくそう,B1F南東のツボ
195,ガライの墓,命のきのみ,B2F南の右のツボ
196,ガライの墓,スタミナのたね,B2F南の左のツボ
197,ガライの墓,くもの素×2,B2F西の奥のタル
198,ガライの墓,34G,B2F西の手前のタル
199,ガライの墓,ミミック,B2F南東の通路行き止まりの宝箱
200,ガライの墓,ミミック,B3F中央エリア東の宝箱
201,ガライの墓,やみのころも,B3F中央やや南の奥のツボ
202,ガライの墓,すばやさのたね,B3F中央やや南の手前のツボ
203,ガライの墓,マヒャド斬りの巻物,B3F北西端の宝箱
204,ガライの墓,ちいさなメダル,B3F巨大な像の目の前の地面
205,ガライの墓,まほうのせいすい,B4F東の宝箱
206,ガライの墓,ぎんのたてごと,最深部B3F
207,雨のほこら,命の石,1F裏門の東の宝箱
208,雨のほこら,ささやきのみつ×2,2F東のタル
209,雨のほこら,ちいさなメダル,3F東のタル
210,雨のほこら,バイキルミン,3F西の宝箱
211,雨のほこら,命のきのみ,4F東の丸い部屋の中心の地面
212,雨のほこら,ちからのたね,4F西の左のツボ
213,雨のほこら,436G,4F西の右のツボ
214,雨のほこら,まもりのたね,5F西の奥のツボ
215,雨のほこら,きれいな水,5F西の手前のツボ
216,雨のほこら,特やくそう,5F東の右の宝箱
217,雨のほこら,まんげつのリング,5F東の左の宝箱
218,雨のほこら,ラックのたね,5F北東のツボ
219,雨のほこら,ちいさなメダル,5F中央の建物の西側の宝箱
220,雨のほこら,あまぐもの杖,1Fの雨の賢者に話す
221,精霊のほこら,ちいさなメダル,1F西側の地面
222,精霊のほこら,ロトのしるし,エクソダス撃破で入手
223,精霊のほこら,けんじゃのせいすい,2F玉座の裏の地面
224,聖なるほこら,ちいさなメダル,ほこら内の北側のステンドグラスの下の地面
225,竜王の城,空っぽ,1F北西の宝箱
226,竜王の城,空っぽ,1F北東の宝箱
227,竜王の城,はがねのつるぎ,1F北東側の小部屋の四角い装飾の床
228,竜王の城,焼けこげた羽根,1F中央の大広間の西側の床のひび割れ
229,竜王の城,空っぽ,B2F東の洞穴の宝箱
230,竜王の城,にげにげリング,B2F北東端の地面
231,竜王の城,空っぽ,B2F南の宝箱
232,竜王の城,かしこさのたね,B2F中央の洞穴の行き止まりの地面
233,竜王の城,はめつの盾,B2F西の通路行き止まりの宝箱
234,竜王の城,ふこうのかぶと,B2F東の通路行き止まりの宝箱
235,竜王の城,ミミック,B2F南の宝箱
236,竜王の城,502G,B3F南西の左の宝箱
237,竜王の城,やくそう,B3F南西の右の宝箱
238,竜王の城,じごくのよろい,B4Fの孤立したエリアの宝箱
239,竜王の城,ミミック,B3F北西の宝箱
240,竜王の城,ミミック,B4F北西の宝箱
241,竜王の城,ちいさなメダル,B5Fループする洞窟エリアの宝箱
242,竜王の城,ロトのつるぎ,B1F中央エリアに刺さっている
243,竜王の城,もろはのつるぎ,B5F中央の四角い部屋の宝箱
244,竜王の城,ミミック,B5F西の宝箱
245,竜王の城,呪いのベルト,B6Fの宝物庫の宝箱
246,竜王の城,ふしぎなきのみ,B6Fの宝物庫の宝箱
247,竜王の城,やくそう,B6Fの宝物庫の宝箱
248,竜王の城,420G,B6Fの宝物庫の宝箱
249,竜王の城,いのりのゆびわ,B6Fの宝物庫の宝箱
250,竜王の城,ミミック,B6Fの宝物庫の宝箱
251,竜王の城,命の石,B6Fの宝物庫の宝箱
252,竜王の城,500G,B6Fの宝物庫の宝箱
253,竜王の城,キメラのつばさ,B6Fの宝物庫の宝箱
254,ラダトームの町,まほうのせいすい,屋敷1Fの西部屋のタル※とうぞくのかぎ
255,ラダトームの町,命のきのみ,屋敷1Fの東部屋のツボ※とうぞくのかぎ
256,ラダトームの町,100G,屋敷2Fの西部屋の本棚※とうぞくのかぎ
257,ラダトームの町,きれいな水,屋敷2Fの西部屋の風呂桶※とうぞくのかぎ
258,ラダトームの町,めざましリング,宿屋の左客室の引き出し※とうぞくのかぎ
259,ラダトームの町,342G,宿屋の左客室のツボ※とうぞくのかぎ
260,ラダトームの城,ちいさなメダル,厨房を通っていける2F左のツボ※とうぞくのかぎ
261,ラダトームの城,434G,厨房を通っていける2F右のツボ※とうぞくのかぎ
262,ラダトームの城,皮のよろい,厨房を通っていける2Fのタル※とうぞくのかぎ
263,旅人の教会,まもりのたね,東側の部屋のツボ※とうぞくのかぎ
264,旅人の教会,ちいさなメダル,東側の部屋のタンス※とうぞくのかぎ
265,ガライ,やくそう,船着き場の横に通る通路のツボ※とうぞくのかぎ
266,ガライ,29G,船着き場の縦に通る通路のツボ※とうぞくのかぎ
267,ガライ,なりきんベスト,船着き場の一番奥の商人そばの宝箱※とうぞくのかぎ
268,ガライの墓,命のきのみ,B1F南側に出て突き当たりにあるタル※とうぞくのかぎ
269,ガライの墓,布の服,B1F最初の部屋の壁を隔てて東側のタル※とうぞくのかぎ
270,ガライの墓,ちいさなメダル,B1F中央やや北東の行き止まりのツボ※とうぞくのかぎ
271,ガライの墓,にげにげリング,B1F北の右の宝箱※とうぞくのかぎ
272,ガライの墓,284G,B1F北の中央の宝箱※とうぞくのかぎ
273,ガライの墓,くちぶえの巻物,B1F北の左の宝箱※とうぞくのかぎ
274,ガライの墓,164G,B1F中央やや北西の奥のツボ※とうぞくのかぎ
275,ガライの墓,まほうのせいすい,B1F中央やや北西の手前のツボ※とうぞくのかぎ
276,マイラ,ラックのたね,西の民家(元近衛兵の家)のツボ※とうぞくのかぎ
277,ラダトームの町,3300G,屋敷2Fの階段近くの青い宝箱※まほうのかぎ
278,ラダトームの城,すばやさのたね,城1F東のバリアのある部屋のタル※まほうのかぎ
279,ラダトームの城,いのりのゆびわ,城1F東のバリアを渡った先のタル※まほうのかぎ
280,ラダトームの城,たいようの石,裏庭から入れるB1Fにいる太陽の賢者に話す※まほうのかぎ
281,ラダトームの城,ちからのたね,裏庭から入れるB1Fの部屋のツボ※まほうのかぎ
282,ラダトームの城,いぬぐるみ,裏庭から入れるB1Fの左の引き出し※まほうのかぎ
283,ラダトームの城,ちいさなメダル,裏庭から入れるB1Fの右の引き出し※まほうのかぎ
284,ガライ,りせいのリング,船着き場の横の室内の引き出し※まほうのかぎ
285,ガライ,ねこぐるみ,船着き場の横の室内のタンス※まほうのかぎ
286,マイラ,くさなぎの剣,井戸の中の宝箱※まほうのかぎ
287,リムルダール,特やくそう×2,宿屋裏口から入った先の宝箱※まほうのかぎ
288,ドワーフの洞窟,ガイアのよろい,B3Fの右の部屋の手前の宝箱※まほうのかぎ
289,ドワーフの洞窟,ちからのゆびわ,B3Fの右の部屋の奥の宝箱※まほうのかぎ
290,妖精の隠れ里,ふうじんの盾,坂の上の宝箱※まほうのかぎ
291,メダル王の城,ファントムマスク,城1Fの東側の青い宝箱※まほうのかぎ
292,メダル王の城,海賊王の首かざり,城1Fの西側の青い宝箱※まほうのかぎ
293,ラダトームの町,ちいさなメダル,教会2Fの牢屋内のツボ※さいごのかぎ
294,ラダトームの町,くもの素,教会2Fの牢屋内のタル※さいごのかぎ
295,ラダトームの町,あぶないエキス×3,屋敷2Fの左の部屋の宝箱※さいごのかぎ
296,ラダトームの城,12000G,城1F宝物庫の一番左の宝箱※さいごのかぎ
297,ラダトームの城,エルフののみぐすり,城1F宝物庫の一番左から二番目の宝箱※さいごのかぎ
298,ラダトームの城,まじんのオノ,城1F宝物庫の一番右から二番目の宝箱※さいごのかぎ
299,ラダトームの城,レミラーマの巻物,城1F宝物庫の一番右の宝箱※さいごのかぎ
300,雨のほこら,命の石,1F裏門の東の宝箱※さいごのかぎ
301,雨のほこら,ささやきのみつ×2,2F東のタル※さいごのかぎ
302,雨のほこら,ちいさなメダル,3F東のタル※さいごのかぎ
303,雨のほこら,バイキルミン,3F西の宝箱※さいごのかぎ
304,雨のほこら,命のきのみ,4F東の丸い部屋の中心の地面※さいごのかぎ
305,雨のほこら,ちからのたね,4F西の左のツボ※さいごのかぎ
306,雨のほこら,436G,4F西の右のツボ※さいごのかぎ
307,雨のほこら,まもりのたね,5F西の奥のツボ※さいごのかぎ
308,雨のほこら,きれいな水,5F西の手前のツボ※さいごのかぎ
309,雨のほこら,特やくそう,5F東の右の宝箱※さいごのかぎ
310,雨のほこら,まんげつのリング,5F東の左の宝箱※さいごのかぎ
311,雨のほこら,ラックのたね,5F北東のツボ※さいごのかぎ
312,雨のほこら,ちいさなメダル,5F中央の建物の西側の宝箱※さいごのかぎ
313,リムルダール,けんじゃのせいすい,教会2Fの牢屋内のツボ※さいごのかぎ
314,ドワーフの洞窟,ちいさなメダル,B1F西端の扉の先の宝箱※さいごのかぎ
315,メダル王の城,ちいさなメダル,1F西側の中央の宝箱※さいごのかぎ
316,メダル王の城,あくまのムチ,1F東側の中央の宝箱※さいごのかぎ
317,旅人の宿屋,けんじゃのせいすい,客室の宝箱※さいごのかぎ
318,旅人の宿屋,スタミナのたね,客室の壁かけ袋※さいごのかぎ
319,旅人の宿屋,はんにゃのめん,井戸の中の宝箱※さいごのかぎ
320,メルキド,ちいさなメダル,町北東の見張り台の2Fの宝箱※さいごのかぎ
321,岩泣き島の南のひみつの場所,はやてのリング,宝箱※さいごのかぎ
322,岩泣き島,ロトの盾,外観の最深部の宝箱※さいごのかぎ
